,A(x),B(Y)
,"-104,2","5,30E-07"
,"-104,198","2,80E-07"
,"-104,196","1,60E-07"
,"-104,194","2,75E-06"
,"-104,192","8,20E-07"
,"-104,19","1,95E-06"
,"-104,188","3,24E-06"
,"-104,186","4,00E-07"
,"-104,184","-3,15E-06"
,"-104,182","-1,90E-06"
,"-104,18","-3,61E-06"
,"-104,178","1,60E-06"
,"-104,176","3,52E-06"
,"-104,174","6,14E-06"
,"-104,172","4,82E-06"
,"-104,17","4,49E-06"
,"-104,168","1,00E-08"
,"-104,166","-4,90E-07"
,"-104,164","-8,70E-07"
,"-104,162","-3,28E-06"
,"-104,16","6,10E-07"
,"-104,158","3,25E-06"
,"-104,156","3,85E-06"
,"-104,154","6,58E-06"
,"-104,152","5,25E-06"
,"-104,15","4,16E-06"
,"-104,148","1,04E-06"
,"-104,146","1,35E-06"
,"-104,144","1,14E-06"
,"-104,142","1,95E-06"
,"-104,14","3,24E-06"
,"-104,138","1,30E-06"
,"-104,136","7,19E-06"
,"-104,134","3,36E-06"
,"-104,132","6,15E-06"
,"-104,13","2,08E-06"
,"-104,128","1,52E-06"
,"-104,126","-1,29E-06"
,"-104,124","2,60E-07"
,"-104,122","1,04E-06"
,"-104,12","1,76E-06"
,"-104,118","5,41E-06"
,"-104,116","3,22E-06"
,"-104,114","8,20E-06"
,"-104,112","8,15E-06"
,"-104,11","6,59E-06"
,"-104,108","6,34E-06"
,"-104,106","3,37E-06"
,"-104,104","1,34E-06"
,"-104,102","1,32E-06"
,"-104,1","2,82E-06"
,"-104,098","2,34E-06"
,"-104,096","7,22E-06"
,"-104,094","2,77E-06"
,"-104,092","5,02E-06"
,"-104,09","1,77E-06"
,"-104,088","3,10E-06"
,"-104,086","1,53E-06"
,"-104,084","-2,44E-06"
,"-104,082","-1,20E-06"
,"-104,08","-3,82E-06"
,"-104,078","1,39E-06"
,"-104,076","4,06E-06"
,"-104,074","1,68E-06"
,"-104,072","8,50E-07"
,"-104,07","2,07E-06"
,"-104,068","-3,30E-07"
,"-104,066","-4,25E-06"
,"-104,064","-1,33E-06"
,"-104,062","-1,13E-06"
,"-104,06","1,00E-08"
,"-104,058","1,83E-06"
,"-104,056","-1,80E-07"
,"-104,054","1,86E-06"
,"-104,052","2,08E-06"
,"-104,05","2,99E-06"
,"-104,048","-1,14E-06"
,"-104,046","-6,43E-06"
,"-104,044","-6,13E-06"
,"-104,042","-1,12E-06"
,"-104,04","1,58E-06"
,"-104,038","1,76E-06"
,"-104,036","4,49E-06"
,"-104,034","6,76E-06"
,"-104,032","4,80E-06"
,"-104,03","5,20E-06"
,"-104,028","3,82E-06"
,"-104,026","-8,00E-08"
,"-104,024","1,92E-06"
,"-104,022","-1,45E-06"
,"-104,02","-3,80E-06"
,"-104,018","9,70E-07"
,"-104,016","1,75E-06"
,"-104,014","7,15E-06"
,"-104,012","3,75E-06"
,"-104,01","4,37E-06"
,"-104,008","2,74E-06"
,"-104,006","2,75E-06"
,"-104,004","3,80E-07"
,"-104,002","8,10E-07"
,-104,"3,11E-06"
,"-103,998","4,74E-06"
,"-103,996","2,03E-06"
,"-103,994","4,70E-06"
,"-103,992","4,69E-06"
,"-103,99","5,43E-06"
,"-103,988","4,59E-06"
,"-103,986","2,51E-06"
,"-103,984","3,58E-06"
