A(X);B(X)
79;103.86227
79.14286;105.03588
79.28571;103.59375
79.42857;105.96065
79.57143;105.00116
79.71429;103.69676
79.85714;103.42824
80;103.71759
80.14286;103.05208
80.28571;104.64005
80.42857;106.94213
80.57143;103.32176
80.71429;103.20255
80.85714;102.75116
81;104.52546
81.14286;108.59722
81.28571;104.95023
81.42857;101.87153
81.57143;103.2963
81.71429;102.81597
81.85714;102.62153
82;103.48264
82.14286;105.51505
82.28571;101.89005
82.42857;103.75
82.57143;101.47569
82.71429;100.6794
82.85714;102.4838
83;101.86343
83.14286;103.29977
83.28571;102.58565
83.42857;101.67245
83.57143;101.76389
83.71429;102.65046
83.85714;102.64583
84;100.78819
84.14286;102.85648
84.28571;103.06597
84.42857;103.53935
84.57143;103.24769
84.71429;103.38773
84.85714;104.22569
85;100.89236
85.14286;100.98727
85.28571;102.42824
85.42857;98.69329
85.57143;101.90509
85.71429;102.61227
85.85714;103.36458
86;100.93171
86.14286;102.77083
86.28571;102.59838
86.42857;101.31713
86.57143;100.11343
86.71429;99.09028
86.85714;103.95718
87;102.40857
87.14286;103.11227
87.28571;106.16898
87.42857;102.10185
87.57143;101.56018
87.71429;101.71759
87.85714;101.48843
88;101.09491
88.14286;103.45833
88.28571;102.48148
88.42857;103.28935
88.57143;101.82986
88.71429;102.54977
88.85714;102.3044
89;107.60532
89.14286;102.09028
89.28571;102.25347
89.42857;99.71412
89.57143;99.7037
89.71429;104.91319
89.85714;119.31597
90;121.4375
90.14286;121.15278
90.28571;120.85648
90.42857;121.4375
90.57143;121.93866
90.71429;111.82755
90.85714;114.37268
91;116.44907
91.14286;114.84259
91.28571;110.89583
91.42857;109.00232
91.57143;109.8287
91.71429;113.32986
91.85714;116.94792
92;106.3044
92.14286;105.8044
92.28571;105.09607
92.42857;102.03704
92.57143;100.64468
92.71429;101.56482
92.85714;107.67361
93;103.46528
93.14286;102.0625
93.28571;101.25232
93.42857;100.34143
93.57143;100.55787
93.71429;105.03819
93.85714;102.31944
94;102.46644
94.14286;100.90162
94.28571;100.9375
94.42857;100.7581
94.57143;102.83912
94.71429;102.46644
94.85714;101.25926
95;103.52431
95.14286;100.46991
95.28571;100.11343
95.42857;101.94792
95.57143;99.90394
95.71429;98.06829
95.85714;100.83796
96;98.17014
96.14286;102.71759
96.28571;104.48495
96.42857;102.24653
96.57143;100.26389
96.71429;100.96065
96.85714;101.57639
97;99.88889
97.14286;102.14468
97.28571;102.53704
97.42857;100.59607
97.57143;99.88426
97.71429;100.6956
97.85714;99.84491
98;102.14236
98.14286;101.76968
98.28571;98.92361
98.42857;101.85648
98.57143;102.7662
98.71429;104.78472
98.85714;103.90741
99;99.23727
99.14286;98.17245
99.28571;99.65741
99.42857;103.92824
99.57143;119.18171
99.71429;119.59144
99.85714;116.35417
100;118.5081
100.14286;116
100.28571;115.27778
100.42857;115.43287
100.57143;116.54398
100.71429;116.30787
100.85714;110.77315
101;107.53241
101.14286;108.16667
101.28571;107.58565
101.42857;105.72454
101.57143;102.75232
101.71429;100.81944
101.85714;104.59028
102;101.86343
102.14286;103.27894
102.28571;103.03472
102.42857;103.2581
102.57143;101.38079
102.71429;98.91782
102.85714;100.57523
103;104.19444
103.14286;103.25
103.28571;100.76968
103.42857;100.6794
103.57143;100.39352
103.71429;103.99537
103.85714;102.98032
104;103.6794
104.14286;102.11111
104.28571;99.52546
104.42857;98.67708
104.57143;99.57523
104.71429;99.59491
104.85714;101.5081
105;101.59722
105.14286;101.44792
105.28571;101.07176
105.42857;100.36806
105.57143;99
105.71429;99.7662
105.85714;100.61806
106;100.2419
106.14286;99.15741
106.28571;102.45949
106.42857;98.88657
106.57143;100.62847
106.71429;117.40972
106.85714;118.50116
107;121.32639
107.14286;115.95023
107.28571;114.13079
107.42857;110.10532
107.57143;104.58681
107.71429;111.88773
107.85714;104.77315
108;103.08449
108.14286;104.20486
108.28571;102.86574
108.42857;100.62963
108.57143;104.2963
108.71429;107.20023
108.85714;102.84028
109;104.59491
109.14286;102.10301
109.28571;102.67361
109.42857;101.70718
109.57143;101.32523
109.71429;103.02083
109.85714;99.63773
110;100.29745
110.14286;100.56597
110.28571;102.18056
110.42857;101.9294
110.57143;98.01273
110.71429;98.11111
110.85714;99.17477
111;99.71065
111.14286;101.97801
111.28571;98.54861
111.42857;98.30556
111.57143;98.17708
111.71429;97.88889
111.85714;100.16088
112;97.15625
112.14286;99.22338
112.28571;99.99537
112.42857;98.93287
112.57143;97.84606
112.71429;100.5706
112.85714;99.875
113;99.13426
113.14286;100.44097
113.28571;101.16088
113.42857;100.50694
113.57143;102.8912
113.71429;100.54398
113.85714;99.07523
114;100.69676
114.14286;97.6412
114.28571;100.50579
114.42857;100.20023
114.57143;98.48727
114.71429;99.63079
114.85714;98.9456
115;98.48727
115.14286;98.4838
115.28571;101.94907
115.42857;98.48264
115.57143;98.77778
115.71429;97.13542
115.85714;97.27546
116;100.40509
116.14286;99.17708
116.28571;116.29745
116.42857;117.02778
116.57143;117.67824
116.71429;113.82292
116.85714;116.72107
117;114.81713
117.14286;113.0787
117.28571;107.46759
117.42857;110.04398
117.57143;113.65509
117.71429;109.24768
117.85714;111.27199
118;107.09028
118.14286;105.02662
118.28571;103.72454
118.42857;105.59838
118.57143;102.67361
118.71429;104.69792
118.85714;103.23727
119;108.45949
119.14286;106.72338
119.28571;105.94444
119.42857;103.00347
119.57143;101.33796
119.71429;101.51736
119.85714;103.68403
120;103.50463
120.14286;100.30787
120.28571;101.1088
120.42857;100.8125
120.57143;100.85301
120.71429;100.29745
120.85714;105.81944
121;102.73495
121.14286;100.84144
121.28571;101.70833
121.42857;102.22338
121.57143;100.78588
121.71429;101.77778
121.85714;100.49537
122;101.85764
122.14286;101.06944
122.28571;101.99421
122.42857;101.11806
122.57143;101.83218
122.71429;100.50116
122.85714;100.15278
123;103.93056
123.14286;99.625
123.28571;99.33912
