A(X);B(Y)
0.736;4.00E-08
0.738;1.29E-06
0.74;4.00E-08
0.742;-4.69E-06
0.744;-1.88E-06
0.746;-4.56E-06
0.748;-4.52E-06
0.75;-2.15E-06
0.752;-1.89E-06
0.754;-2.09E-06
0.756;6.10E-07
0.758;-4.03E-06
0.76;-2.24E-06
0.762;-3.10E-06
0.764;-6.48E-06
0.766;-6.01E-06
0.768;-3.58E-06
0.77;-9.00E-08
0.772;1.09E-06
0.774;1.05E-06
0.776;3.27E-06
0.778;2.14E-06
0.78;2.40E-06
0.782;-8.94E-06
0.784;-1.15E-06
0.786;-2.96E-06
0.788;-2.90E-06
0.79;-4.09E-06
0.792;-2.45E-06
0.794;9.80E-07
0.796;1.10E-06
0.798;-2.76E-06
0.8;-2.91E-06
0.802;-1.91E-06
0.804;-4.24E-06
0.806;-2.31E-06
0.808;-6.90E-07
0.81;-2.50E-07
0.812;-1.46E-06
0.814;-3.11E-06
0.816;8.90E-07
0.818;-7.10E-07
0.82;1.50E-07
0.822;-2.23E-06
0.824;-2.63E-06
0.826;-6.51E-06
0.828;-4.04E-06
0.83;-3.10E-06
0.832;6.00E-08
0.834;-1.40E-07
0.836;-1.80E-07
0.838;2.85E-06
0.84;-1.63E-06
0.842;-1.80E-07
0.844;-1.10E-06
0.846;1.92E-06
0.848;-2.20E-06
0.85;1.11E-06
0.852;4.44E-06
0.854;2.30E-06
0.856;2.81E-06
0.858;4.60E-07
0.86;-5.90E-07
0.862;6.00E-07
0.864;-4.70E-07
0.866;-3.50E-07
0.868;2.31E-06
0.87;-1.20E-07
0.872;3.50E-07
0.874;3.97E-06
0.876;1.73E-06
0.878;-1.40E-07
0.88;6.30E-07
0.882;-2.36E-06
0.884;-4.32E-06
0.886;-3.90E-06
0.888;-2.58E-06
0.89;5.50E-07
0.892;2.38E-06
0.894;3.40E-06
0.896;4.64E-06
0.898;1.22E-06
0.9;-2.92E-06
0.902;-3.94E-06
0.904;-4.57E-06
0.906;-4.23E-06
0.908;-7.00E-08
0.91;2.40E-07
0.912;1.03E-06
0.914;2.87E-06
0.916;2.11E-06
0.918;-3.68E-06
0.92;-4.18E-06
0.922;-3.95E-06
0.924;-2.65E-06
0.926;-1.38E-06
0.928;-6.50E-07
0.93;-2.16E-06
0.932;9.40E-07
0.934;-5.85E-06
0.936;2.30E-06
0.938;4.85E-06
0.94;2.44E-06
0.942;1.80E-06
0.944;4.30E-07
0.946;-2.22E-06
0.948;7.10E-07
0.95;8.60E-07
0.952;1.15E-06
0.954;1.61E-06
0.956;3.49E-06
0.958;2.18E-06
0.96;4.34E-06
0.962;6.20E-07
0.964;1.77E-06
0.966;-5.90E-07
0.968;-6.10E-07
0.97;9.30E-07
0.972;2.24E-06
0.974;3.38E-06
0.976;2.99E-06
0.978;5.42E-06
0.98;2.30E-06
0.982;3.58E-06
0.984;4.80E-07
0.986;9.50E-07
0.988;4.69E-06
0.99;6.02E-06
0.992;5.19E-06
0.994;4.92E-06
0.996;5.24E-06
0.998;4.17E-06
1;4.40E-06
1.002;2.00E-07
1.004;1.48E-06
1.006;5.80E-07
1.008;4.09E-06
1.01;3.48E-06
1.012;3.84E-06
1.014;4.70E-06
1.016;1.77E-06
1.018;5.54E-06
1.02;-2.50E-07
1.022;7.20E-07
1.024;-7.80E-07
1.026;1.53E-06
1.028;1.84E-06
1.03;3.31E-06
1.032;1.97E-06
1.034;1.05E-06
1.036;1.12E-06
1.038;1.04E-06
1.04;-5.16E-06
1.042;-3.62E-06
1.044;-1.03E-05
1.046;-3.11E-06
1.048;-2.51E-06
1.05;-1.20E-07
1.052;1.14E-06
1.054;-1.20E-07
1.056;7.10E-07
1.058;2.53E-06
1.06;6.70E-07
1.062;2.10E-07
1.064;-1.23E-06
1.066;-1.87E-06
1.068;2.90E-07
1.07;1.34E-06
1.072;1.80E-07
1.074;4.09E-06
1.076;2.12E-06
1.078;2.00E-06
1.08;-3.60E-07
1.082;-2.88E-06
1.084;-1.02E-06
1.086;-9.70E-07
1.088;-1.49E-06
1.09;-2.34E-06
1.092;-1.05E-06
1.094;4.48E-06
1.096;1.62E-06
1.098;1.54E-06
1.1;-2.90E-06
1.102;-1.40E-06
1.104;-1.39E-06
1.106;-3.83E-06
1.108;-2.90E-06
1.11;1.40E-06
1.112;-1.60E-07
1.114;1.41E-06
1.116;-5.90E-07
1.118;4.00E-06
1.12;1.94E-06
1.122;3.44E-06
1.124;-1.52E-06
1.126;5.00E-08
1.128;-3.50E-07
1.13;1.41E-06
1.132;8.70E-07
1.134;4.44E-06
1.136;2.70E-06
1.138;3.62E-06
1.14;2.66E-06
1.142;-1.22E-06
1.144;-4.98E-06
1.146;-1.69E-06
1.148;-2.04E-06
1.15;-2.92E-06
1.152;-2.04E-06
1.154;-1.25E-06
1.156;-1.39E-06
1.158;4.10E-07
1.16;2.46E-06
1.162;-1.47E-06
1.164;-4.52E-06
1.166;-3.48E-06
1.168;-9.70E-07
1.17;-3.00E-06
1.172;1.91E-06
1.174;2.15E-06
1.176;4.60E-07
1.178;5.50E-07
1.18;-1.74E-06
1.182;-3.65E-06
1.184;-4.11E-06
1.186;-1.61E-06
1.188;-3.04E-06
1.19;1.49E-06
1.192;5.00E-07
1.194;1.57E-06
1.196;-6.23E-06
1.198;1.20E-07
1.2;-3.39E-06
1.202;-2.11E-06
1.204;-3.28E-06
1.206;-4.15E-06
1.208;2.00E-06
1.21;-8.60E-07
1.212;8.30E-07
1.214;1.39E-06
1.216;1.10E-07
1.218;5.00E-07
1.22;-1.10E-07
1.222;1.80E-07
1.224;3.60E-07
1.226;2.10E-06
1.228;2.62E-06
1.23;1.81E-06
1.232;-4.50E-07
1.234;1.76E-06
1.236;2.06E-06
1.238;2.00E-08
1.24;9.40E-07
1.242;1.00E-07
1.244;7.70E-07
1.246;-5.00E-08
1.248;-1.35E-06
1.25;1.80E-06
1.252;9.60E-07
1.254;-4.90E-07
1.256;3.00E-08
1.258;2.58E-06
1.26;-1.13E-06
1.262;1.52E-06
1.264;-1.59E-06
1.266;-3.20E-07
1.268;-2.00E-06
1.27;-2.20E-06
1.272;-7.90E-07
1.274;-5.00E-07
1.276;3.10E-06
1.278;-8.30E-07
1.28;-2.75E-06
1.282;-2.83E-06
1.284;-3.32E-06
1.286;-9.30E-07
1.288;-1.50E-06
1.29;-8.00E-08
1.292;-9.00E-07
1.294;9.40E-07
1.296;-9.10E-07
1.298;-8.80E-07
1.3;-1.74E-06
1.302;-3.51E-06
1.304;-3.78E-06
1.306;-4.73E-06
1.308;-2.10E-06
1.31;-9.40E-07
