,A(x),B(Y)
,"-104,456","-5,90E-07"
,"-104,454","4,43E-06"
,"-104,452","4,40E-06"
,"-104,45","5,09E-06"
,"-104,448","2,30E-06"
,"-104,446","-1,20E-06"
,"-104,444","8,20E-07"
,"-104,442","-9,00E-07"
,"-104,44","1,98E-06"
,"-104,438","-3,00E-08"
,"-104,436","1,06E-06"
,"-104,434","2,79E-06"
,"-104,432","2,23E-06"
,"-104,43","1,60E-06"
,"-104,428","1,86E-06"
,"-104,426","2,93E-06"
,"-104,424","1,32E-06"
,"-104,422","-1,10E-07"
,"-104,42","2,53E-06"
,"-104,418","4,18E-06"
,"-104,416","2,47E-06"
,"-104,414","3,59E-06"
,"-104,412","5,47E-06"
,"-104,41","7,11E-06"
,"-104,408","2,36E-06"
,"-104,406","2,33E-06"
,"-104,404","-4,80E-07"
,"-104,402","2,03E-06"
,"-104,4","-1,94E-06"
,"-104,398","-4,90E-07"
,"-104,396","-1,00E-06"
,"-104,394","6,70E-07"
,"-104,392","2,70E-07"
,"-104,39","4,06E-06"
,"-104,388","2,48E-06"
,"-104,386","2,21E-06"
,"-104,384","2,00E-08"
,"-104,382","1,32E-06"
,"-104,38","-2,20E-07"
,"-104,378","-8,30E-07"
,"-104,376","-3,20E-06"
,"-104,374","-2,00E-07"
,"-104,372","1,95E-06"
,"-104,37","-1,79E-06"
,"-104,368","2,01E-06"
,"-104,366","1,04E-06"
,"-104,364","2,04E-06"
,"-104,362","-2,64E-06"
,"-104,36","5,10E-07"
,"-104,358","1,42E-06"
,"-104,356","3,27E-06"
,"-104,354","6,60E-07"
,"-104,352","3,04E-06"
,"-104,35","2,00E-07"
,"-104,348","2,90E-07"
,"-104,346","-1,93E-06"
,"-104,344","-3,07E-06"
,"-104,342","-2,67E-06"
,"-104,34","-2,84E-06"
,"-104,338","-3,89E-06"
,"-104,336","4,10E-07"
,"-104,334","-1,26E-06"
,"-104,332","-7,00E-08"
,"-104,33","-9,30E-07"
,"-104,328","-1,90E-07"
,"-104,326","-4,60E-07"
,"-104,324","-1,11E-06"
,"-104,322","-2,85E-06"
,"-104,32","-4,12E-06"
,"-104,318","-1,12E-06"
,"-104,316","-5,00E-08"
,"-104,314","3,81E-06"
,"-104,312","1,50E-06"
,"-104,31","3,55E-06"
,"-104,308","2,35E-06"
,"-104,306","2,55E-06"
,"-104,304","-6,10E-07"
,"-104,302","1,56E-06"
,"-104,3","9,70E-07"
,"-104,298","-1,80E-06"
,"-104,296","2,15E-06"
,"-104,294","4,65E-06"
,"-104,292","3,50E-06"
,"-104,29","2,43E-06"
,"-104,288","8,60E-07"
,"-104,286","1,77E-06"
,"-104,284","-3,10E-07"
,"-104,282","4,80E-07"
,"-104,28","2,60E-07"
,"-104,278","1,47E-06"
,"-104,276","1,23E-06"
,"-104,274","2,53E-06"
,"-104,272","5,21E-06"
,"-104,27","3,37E-06"
,"-104,268","5,55E-06"
,"-104,266","2,79E-06"
,"-104,264","3,33E-06"
,"-104,262","1,00E-08"
,"-104,26","6,50E-07"
,"-104,258","1,60E-07"
,"-104,256","1,97E-06"
,"-104,254","3,94E-06"
,"-104,252","3,32E-06"
,"-104,25","2,40E-06"
,"-104,248","2,71E-06"
,"-104,246","3,08E-06"
,"-104,244","-7,00E-08"
,"-104,242","-1,59E-06"
,"-104,24","-5,00E-08"
,"-104,238","-2,63E-06"
,"-104,236","8,40E-07"
,"-104,234","4,90E-06"
,"-104,232","4,30E-06"
,"-104,23","2,89E-06"
,"-104,228","4,65E-06"
,"-104,226","8,30E-07"
,"-104,224","-1,40E-06"
,"-104,222","-1,00E-06"
,"-104,22","-3,56E-06"
,"-104,218","-1,16E-06"
,"-104,216","-1,46E-06"
,"-104,214","2,29E-06"
,"-104,212","3,75E-06"
,"-104,21","5,65E-06"
,"-104,208","2,70E-06"
,"-104,206","5,71E-06"
,"-104,204","2,18E-06"
,"-104,202","8,90E-07"
,"-104,2","6,50E-07"
,"-104,198","-1,93E-06"
,"-104,196","6,90E-07"
,"-104,194","1,48E-06"
,"-104,192","3,13E-06"
,"-104,19","2,10E-07"
,"-104,188","2,57E-06"
,"-104,186","-2,51E-06"
,"-104,184","-4,42E-06"
,"-104,182","5,50E-07"
,"-104,18","-3,33E-06"
,"-104,178","9,00E-07"
,"-104,176","4,00E-08"
,"-104,174","1,65E-06"
,"-104,172","4,70E-07"
,"-104,17","-6,10E-07"
,"-104,168","2,19E-06"
,"-104,166","1,94E-06"
,"-104,164","1,35E-06"
,"-104,162","-2,97E-06"
,"-104,16","-1,39E-06"
,"-104,158","5,00E-07"
,"-104,156","-1,78E-06"
,"-104,154","1,30E-07"
,"-104,152","-5,50E-07"
,"-104,15","-6,80E-07"
,"-104,148","-3,83E-06"
,"-104,146","-1,37E-06"
,"-104,144","-2,67E-06"
,"-104,142","-1,42E-06"
,"-104,14","-1,77E-06"
,"-104,138","-2,39E-06"
,"-104,136","4,90E-07"
,"-104,134","4,07E-06"
,"-104,132","-9,50E-07"
,"-104,13","2,23E-06"
,"-104,128","3,30E-06"
,"-104,126","-1,01E-06"
,"-104,124","1,98E-06"
,"-104,122","-1,30E-07"
,"-104,12","-2,33E-06"
,"-104,118","4,00E-08"
,"-104,116","2,35E-06"
,"-104,114","2,54E-06"
,"-104,112","7,20E-07"
,"-104,11","3,23E-06"
,"-104,108","3,60E-06"
,"-104,106","1,37E-06"
,"-104,104","-2,28E-06"
,"-104,102","-1,10E-06"
,"-104,1","-1,48E-06"
,"-104,098","-2,71E-06"
,"-104,096","5,40E-07"
,"-104,094","2,95E-06"
,"-104,092","3,48E-06"
,"-104,09","1,77E-06"
,"-104,088","4,01E-06"
,"-104,086","9,20E-07"
,"-104,084","-2,23E-06"
,"-104,082","-1,51E-06"
,"-104,08","-4,41E-06"
,"-104,078","-3,76E-06"
,"-104,076","-4,07E-06"
,"-104,074","3,00E-08"
,"-104,072","1,70E-07"
,"-104,07","-6,60E-07"
,"-104,068","-6,40E-07"
,"-104,066","-1,74E-06"
,"-104,064","-1,86E-06"
,"-104,062","-2,34E-06"
,"-104,06","-2,23E-06"
,"-104,058","-3,69E-06"
,"-104,056","-2,80E-07"
,"-104,054","-2,30E-07"
,"-104,052","2,62E-06"
,"-104,05","2,68E-06"
,"-104,048","5,14E-06"
,"-104,046","5,17E-06"
,"-104,044","-5,00E-08"
,"-104,042","3,80E-07"
,"-104,04","3,51E-06"
,"-104,038","1,06E-06"
,"-104,036","1,35E-06"
,"-104,034","4,90E-06"
,"-104,032","2,91E-06"
,"-104,03","1,49E-06"
,"-104,028","3,62E-06"
,"-104,026","1,38E-06"
,"-104,024","-3,70E-07"
,"-104,022","8,00E-08"
,"-104,02","-1,00E-06"
,"-104,018","1,95E-06"
,"-104,016","1,07E-06"
,"-104,014","3,25E-06"
,"-104,012","3,14E-06"
,"-104,01","5,18E-06"
,"-104,008","2,86E-06"
,"-104,006","2,76E-06"
,"-104,004","-3,40E-07"
,"-104,002","-9,80E-07"
,-104,"-1,59E-06"
,"-103,998","-3,90E-07"
,"-103,996","-4,40E-07"
,"-103,994","-2,80E-07"
,"-103,992","1,36E-06"
,"-103,99","3,90E-07"
,"-103,988","1,33E-06"
,"-103,986","4,20E-07"
,"-103,984","-1,62E-06"
,"-103,982","-2,88E-06"
,"-103,98","-8,20E-07"
,"-103,978","-1,98E-06"
,"-103,976","8,00E-08"
,"-103,974","-1,80E-07"
,"-103,972","-4,80E-07"
,"-103,97","1,66E-06"
,"-103,968","-3,20E-07"
,"-103,966","-4,70E-07"
,"-103,964","-2,52E-06"
,"-103,962","2,90E-07"
,"-103,96","-9,50E-07"
,"-103,958","-3,70E-06"
,"-103,956","-8,90E-07"
,"-103,954","3,65E-06"
,"-103,952","2,76E-06"
,"-103,95","4,93E-06"
,"-103,948","2,49E-06"
,"-103,946","3,10E-07"
,"-103,944","-2,20E-07"
,"-103,942","-1,54E-06"
,"-103,94","8,20E-07"
,"-103,938","1,71E-06"
,"-103,936","1,52E-06"
,"-103,934","1,81E-06"
,"-103,932","-1,80E-07"
,"-103,93","-7,00E-08"
,"-103,928","-2,90E-07"
,"-103,926","-1,20E-07"
,"-103,924","-2,10E-06"
,"-103,922","-3,72E-06"
