Frec,PSD
"2,66E+02","5,48E-09"
"2,67E+02","6,17E-09"
"2,68E+02","5,50E-09"
"2,69E+02","5,45E-09"
"2,70E+02","5,10E-09"
"2,71E+02","4,62E-09"
"2,72E+02","6,46E-09"
"2,73E+02","5,24E-09"
"2,74E+02","4,65E-09"
"2,75E+02","5,53E-09"
"2,76E+02","6,74E-09"
"2,77E+02","5,10E-09"
"2,78E+02","6,29E-09"
"2,79E+02","5,32E-09"
"2,80E+02","5,75E-09"
"2,81E+02","6,47E-09"
"2,82E+02","5,71E-09"
"2,83E+02","4,58E-09"
"2,84E+02","5,19E-09"
"2,85E+02","5,49E-09"
"2,86E+02","5,58E-09"
"2,87E+02","6,21E-09"
"2,88E+02","7,43E-09"
"2,89E+02","4,86E-09"
"2,90E+02","6,08E-09"
"2,91E+02","4,96E-09"
"2,92E+02","5,53E-09"
"2,93E+02","5,02E-09"
"2,94E+02","6,58E-09"
"2,95E+02","5,13E-09"
"2,96E+02","6,00E-09"
"2,97E+02","6,36E-09"
"2,98E+02","6,00E-09"
"2,99E+02","5,66E-09"
"3,00E+02","5,59E-09"
"3,01E+02","5,28E-09"
"3,02E+02","5,54E-09"
"3,03E+02","4,97E-09"
"3,04E+02","7,66E-09"
"3,05E+02","6,12E-09"
"3,06E+02","5,39E-09"
"3,07E+02","5,19E-09"
"3,08E+02","4,67E-09"
"3,09E+02","4,98E-09"
"3,10E+02","4,71E-09"
"3,11E+02","9,28E-09"
"3,12E+02","8,01E-09"
"3,13E+02","5,29E-09"
"3,14E+02","4,48E-09"
"3,15E+02","5,80E-09"
"3,16E+02","5,53E-09"
"3,17E+02","6,67E-09"
"3,18E+02","5,07E-09"
"3,19E+02","7,12E-09"
"3,20E+02","5,17E-09"
"3,21E+02","9,30E-09"
"3,22E+02","7,15E-09"
"3,23E+02","5,29E-09"
"3,24E+02","4,93E-09"
"3,25E+02","6,33E-09"
"3,26E+02","4,81E-09"
"3,27E+02","5,13E-09"
"3,28E+02","4,77E-09"
"3,29E+02","5,00E-09"
"3,30E+02","7,38E-09"
"3,31E+02","4,69E-09"
"3,32E+02","5,51E-09"
"3,33E+02","5,85E-09"
"3,34E+02","5,45E-09"
"3,35E+02","5,30E-09"
"3,36E+02","5,28E-09"
"3,37E+02","7,15E-09"
"3,38E+02","6,08E-09"
"3,39E+02","5,41E-09"
"3,40E+02","4,64E-09"
"3,41E+02","7,01E-09"
"3,42E+02","5,76E-09"
"3,43E+02","6,61E-09"
"3,44E+02","5,89E-09"
"3,45E+02","4,63E-09"
"3,46E+02","4,97E-09"
"3,47E+02","4,67E-09"
"3,48E+02","6,90E-09"
"3,49E+02","5,37E-09"
"3,50E+02","5,07E-09"
"3,51E+02","5,43E-09"
"3,52E+02","5,48E-09"
"3,53E+02","5,68E-09"
"3,54E+02","6,28E-09"
"3,55E+02","7,87E-09"
"3,56E+02","5,52E-09"
"3,57E+02","6,25E-09"
"3,58E+02","7,55E-09"
"3,59E+02","6,15E-09"
"3,60E+02","6,66E-09"
"3,61E+02","7,47E-09"
"3,62E+02","4,62E-09"
"3,63E+02","5,12E-09"
"3,64E+02","5,64E-09"
"3,65E+02","5,65E-09"
"3,66E+02","4,82E-09"
"3,67E+02","5,38E-09"
"3,68E+02","4,78E-09"
"3,69E+02","5,65E-09"
"3,70E+02","5,48E-09"
"3,71E+02","7,45E-09"
"3,72E+02","5,38E-09"
"3,73E+02","5,36E-09"
"3,74E+02","4,71E-09"
"3,75E+02","7,62E-09"
"3,76E+02","6,02E-09"
"3,77E+02","4,54E-09"
"3,78E+02","6,60E-09"
"3,79E+02","7,20E-09"
"3,80E+02","5,44E-09"
"3,81E+02","5,80E-09"
"3,82E+02","8,65E-09"
"3,83E+02","6,97E-09"
"3,84E+02","5,50E-09"
"3,85E+02","5,67E-09"
"3,86E+02","4,94E-09"
"3,87E+02","4,63E-09"
"3,88E+02","5,99E-09"
"3,89E+02","9,18E-09"
"3,90E+02","6,51E-09"
"3,91E+02","6,46E-09"
"3,92E+02","5,78E-09"
"3,93E+02","4,77E-09"
"3,94E+02","5,00E-09"
"3,95E+02","9,19E-09"
"3,96E+02","6,46E-09"
"3,97E+02","5,00E-09"
"3,98E+02","5,70E-09"
"3,99E+02","5,14E-09"
"4,00E+02","4,84E-09"
"4,01E+02","5,55E-09"
"4,02E+02","5,05E-09"
"4,03E+02","5,04E-09"
"4,04E+02","4,70E-09"
"4,05E+02","5,93E-09"
"4,06E+02","6,49E-09"
"4,07E+02","6,42E-09"
"4,08E+02","8,42E-09"
"4,09E+02","5,07E-09"
"4,10E+02","6,08E-09"
"4,11E+02","6,29E-09"
"4,12E+02","4,65E-09"
"4,13E+02","5,03E-09"
"4,14E+02","4,75E-09"
"4,15E+02","4,62E-09"
"4,16E+02","5,67E-09"
"4,17E+02","6,43E-09"
"4,18E+02","4,51E-09"
"4,19E+02","8,25E-09"
"4,20E+02","5,39E-09"
"4,21E+02","5,77E-09"
"4,22E+02","5,30E-09"
"4,23E+02","6,19E-09"
"4,24E+02","5,13E-09"
"4,25E+02","5,08E-09"
"4,26E+02","5,43E-09"
"4,27E+02","6,74E-09"
"4,28E+02","5,64E-09"
"4,29E+02","4,63E-09"
"4,30E+02","5,33E-09"
"4,31E+02","5,35E-09"
"4,32E+02","5,31E-09"
"4,33E+02","7,15E-09"
"4,34E+02","6,05E-09"
"4,35E+02","5,65E-09"
"4,36E+02","6,39E-09"
"4,37E+02","5,42E-09"
"4,38E+02","7,80E-09"
"4,39E+02","6,18E-09"
"4,40E+02","5,17E-09"
"4,41E+02","5,34E-09"
"4,42E+02","7,15E-09"
"4,43E+02","5,90E-09"
"4,44E+02","5,60E-09"
"4,45E+02","4,83E-09"
"4,46E+02","5,04E-09"
"4,47E+02","6,60E-09"
"4,48E+02","5,71E-09"
"4,49E+02","5,32E-09"
"4,50E+02","6,29E-09"
"4,51E+02","5,44E-09"
"4,52E+02","6,00E-09"
"4,53E+02","5,66E-09"
"4,54E+02","7,70E-09"
"4,55E+02","5,87E-09"
"4,56E+02","4,84E-09"
"4,57E+02","5,45E-09"
"4,58E+02","5,13E-09"
"4,59E+02","6,37E-09"
"4,60E+02","6,07E-09"
"4,61E+02","5,99E-09"
"4,62E+02","5,44E-09"
"4,63E+02","5,46E-09"
"4,64E+02","6,75E-09"
"4,65E+02","4,33E-09"
"4,66E+02","5,59E-09"
"4,67E+02","4,56E-09"
"4,68E+02","5,21E-09"
"4,69E+02","5,25E-09"
"4,70E+02","8,05E-09"
"4,71E+02","5,29E-09"
"4,72E+02","4,99E-09"
"4,73E+02","5,35E-09"
"4,74E+02","7,63E-09"
"4,75E+02","4,87E-09"
"4,76E+02","5,38E-09"
"4,77E+02","5,29E-09"
"4,78E+02","5,03E-09"
"4,79E+02","5,01E-09"
"4,80E+02","5,11E-09"
"4,81E+02","4,93E-09"
"4,82E+02","6,68E-09"
"4,83E+02","5,58E-09"
"4,84E+02","5,37E-09"
"4,85E+02","5,68E-09"
"4,86E+02","4,86E-09"
"4,87E+02","6,53E-09"
"4,88E+02","5,70E-09"
"4,89E+02","6,66E-09"
"4,90E+02","6,98E-09"
"4,91E+02","7,69E-09"
"4,92E+02","6,74E-09"
"4,93E+02","6,24E-09"
"4,94E+02","4,74E-09"
"4,95E+02","4,79E-09"
"4,96E+02","5,60E-09"
"4,97E+02","7,68E-09"
"4,98E+02","4,82E-09"
"4,99E+02","5,13E-09"
"5,00E+02","4,79E-09"
"5,01E+02","8,91E-09"
"5,02E+02","5,55E-09"
"5,03E+02","5,60E-09"
"5,04E+02","4,63E-09"
"5,05E+02","4,76E-09"
"5,06E+02","6,18E-09"
"5,07E+02","7,51E-09"
"5,08E+02","6,52E-09"
"5,09E+02","6,65E-09"
"5,10E+02","4,92E-09"
"5,11E+02","6,33E-09"
"5,12E+02","6,06E-09"
"5,13E+02","6,44E-09"
"5,14E+02","5,06E-09"
"5,15E+02","8,40E-09"
"5,16E+02","5,13E-09"
"5,17E+02","5,10E-09"
"5,18E+02","6,96E-09"
"5,19E+02","6,23E-09"
"5,20E+02","5,54E-09"
"5,21E+02","4,71E-09"
"5,22E+02","6,59E-09"
"5,23E+02","5,20E-09"
"5,24E+02","5,75E-09"
"5,25E+02","5,15E-09"
"5,26E+02","6,09E-09"
"5,27E+02","6,35E-09"
"5,28E+02","6,53E-09"
"5,29E+02","5,22E-09"
"5,30E+02","4,98E-09"
"5,31E+02","5,13E-09"
"5,32E+02","6,05E-09"
"5,33E+02","5,80E-09"
"5,34E+02","9,92E-09"
"5,35E+02","5,32E-09"
"5,36E+02","4,93E-09"
"5,37E+02","9,79E-09"
"5,38E+02","5,25E-09"
"5,39E+02","5,07E-09"
"5,40E+02","5,05E-09"
"5,41E+02","5,77E-09"
"5,42E+02","5,16E-09"
"5,43E+02","7,03E-09"
"5,44E+02","4,87E-09"
"5,45E+02","5,79E-09"
"5,46E+02","6,87E-09"
"5,47E+02","5,57E-09"
"5,48E+02","7,74E-09"
"5,49E+02","5,68E-09"
"5,50E+02","6,32E-09"
"5,51E+02","5,82E-09"
"5,52E+02","5,79E-09"
"5,53E+02","5,54E-09"
"5,54E+02","6,62E-09"
"5,55E+02","6,08E-09"
"5,56E+02","4,89E-09"
"5,57E+02","4,50E-09"
"5,58E+02","5,78E-09"
"5,59E+02","5,63E-09"
"5,60E+02","7,58E-09"
"5,61E+02","5,73E-09"
"5,62E+02","7,87E-09"
"5,63E+02","7,13E-09"
"5,64E+02","5,59E-09"
"5,65E+02","5,03E-09"
"5,66E+02","4,73E-09"
"5,67E+02","5,34E-09"
"5,68E+02","5,20E-09"
"5,69E+02","6,52E-09"
"5,70E+02","5,19E-09"
"5,71E+02","4,96E-09"
"5,72E+02","4,96E-09"
"5,73E+02","5,19E-09"
"5,74E+02","7,79E-09"
"5,75E+02","5,19E-09"
"5,76E+02","5,48E-09"
"5,77E+02","5,90E-09"
"5,78E+02","5,14E-09"
"5,79E+02","4,88E-09"
"5,80E+02","6,94E-09"
"5,81E+02","7,18E-09"
"5,82E+02","7,46E-09"
"5,83E+02","5,94E-09"
"5,84E+02","5,10E-09"
"5,85E+02","6,00E-09"
"5,86E+02","5,78E-09"
"5,87E+02","7,09E-09"
"5,88E+02","5,30E-09"
"5,89E+02","6,30E-09"
"5,90E+02","6,07E-09"
"5,91E+02","6,95E-09"
"5,92E+02","6,75E-09"
"5,93E+02","5,86E-09"
"5,94E+02","6,32E-09"
"5,95E+02","5,32E-09"
"5,96E+02","4,86E-09"
"5,97E+02","5,85E-09"
"5,98E+02","4,86E-09"
"5,99E+02","6,22E-09"
"6,00E+02","5,44E-09"
"6,01E+02","5,44E-09"
"6,02E+02","5,94E-09"
"6,03E+02","5,71E-09"
"6,04E+02","4,94E-09"
"6,05E+02","6,00E-09"
"6,06E+02","4,96E-09"
"6,07E+02","5,66E-09"
"6,08E+02","4,63E-09"
"6,09E+02","5,57E-09"
"6,10E+02","6,10E-09"
"6,11E+02","6,24E-09"
"6,12E+02","5,03E-09"
"6,13E+02","6,94E-09"
"6,14E+02","6,77E-09"
"6,15E+02","6,25E-09"
"6,16E+02","8,42E-09"
"6,17E+02","5,49E-09"
"6,18E+02","5,88E-09"
"6,19E+02","8,23E-09"
"6,20E+02","5,46E-09"
"6,21E+02","4,93E-09"
"6,22E+02","8,87E-09"
"6,23E+02","5,48E-09"
"6,24E+02","4,80E-09"
"6,25E+02","5,56E-09"
"6,26E+02","4,72E-09"
"6,27E+02","6,15E-09"
"6,28E+02","6,97E-09"
"6,29E+02","7,65E-09"
"6,30E+02","5,88E-09"
"6,31E+02","6,64E-09"
"6,32E+02","4,86E-09"
"6,33E+02","4,81E-09"
"6,34E+02","9,97E-09"
"6,35E+02","8,23E-09"
"6,36E+02","6,56E-09"
"6,37E+02","7,88E-09"
"6,38E+02","5,12E-09"
"6,39E+02","6,19E-09"
"6,40E+02","6,43E-09"
"6,41E+02","8,62E-09"
"6,42E+02","5,41E-09"
"6,43E+02","6,72E-09"
"6,44E+02","4,68E-09"
"6,45E+02","1,05E-08"
"6,46E+02","5,07E-09"
"6,47E+02","5,78E-09"
"6,48E+02","5,13E-09"
"6,49E+02","5,79E-09"
"6,50E+02","4,92E-09"
"6,51E+02","5,20E-09"
"6,52E+02","5,32E-09"
"6,53E+02","5,03E-09"
"6,54E+02","7,44E-09"
"6,55E+02","7,24E-09"
"6,56E+02","6,21E-09"
"6,57E+02","6,43E-09"
"6,58E+02","4,53E-09"
"6,59E+02","7,95E-09"
"6,60E+02","4,83E-09"
"6,61E+02","4,88E-09"
"6,62E+02","4,82E-09"
"6,63E+02","5,81E-09"
"6,64E+02","7,33E-09"
"6,65E+02","5,89E-09"
"6,66E+02","6,85E-09"
"6,67E+02","5,51E-09"
"6,68E+02","6,47E-09"
"6,69E+02","6,37E-09"
"6,70E+02","5,11E-09"
"6,71E+02","5,71E-09"
"6,72E+02","6,86E-09"
"6,73E+02","5,91E-09"
"6,74E+02","5,72E-09"
"6,75E+02","6,23E-09"
"6,76E+02","6,02E-09"
"6,77E+02","4,93E-09"
"6,78E+02","5,71E-09"
"6,79E+02","5,19E-09"
"6,80E+02","4,81E-09"
"6,81E+02","5,24E-09"
"6,82E+02","8,33E-09"
"6,83E+02","6,05E-09"
"6,84E+02","5,30E-09"
"6,85E+02","6,33E-09"
"6,86E+02","4,83E-09"
"6,87E+02","6,39E-09"
"6,88E+02","4,97E-09"
"6,89E+02","4,80E-09"
"6,90E+02","5,12E-09"
"6,91E+02","5,66E-09"
"6,92E+02","4,89E-09"
"6,93E+02","6,10E-09"
"6,94E+02","5,48E-09"
"6,95E+02","5,99E-09"
"6,96E+02","4,83E-09"
"6,97E+02","4,47E-09"
"6,98E+02","8,84E-09"
"6,99E+02","4,64E-09"
"7,00E+02","4,84E-09"
"7,01E+02","6,80E-09"
"7,02E+02","6,31E-09"
"7,03E+02","5,07E-09"
"7,04E+02","5,66E-09"
"7,05E+02","5,48E-09"
"7,06E+02","4,76E-09"
"7,07E+02","7,15E-09"
"7,08E+02","7,71E-09"
"7,09E+02","5,10E-09"
"7,10E+02","4,82E-09"
"7,11E+02","4,61E-09"
"7,12E+02","5,91E-09"
"7,13E+02","4,88E-09"
"7,14E+02","5,91E-09"
"7,15E+02","5,92E-09"
"7,16E+02","4,87E-09"
"7,17E+02","5,74E-09"
"7,18E+02","4,81E-09"
"7,19E+02","5,26E-09"
"7,20E+02","5,03E-09"
"7,21E+02","6,32E-09"
"7,22E+02","5,76E-09"
"7,23E+02","4,82E-09"
"7,24E+02","5,76E-09"
"7,25E+02","5,23E-09"
"7,26E+02","5,21E-09"
"7,27E+02","6,39E-09"
"7,28E+02","8,11E-09"
"7,29E+02","6,03E-09"
"7,30E+02","5,44E-09"
"7,31E+02","6,29E-09"
"7,32E+02","5,16E-09"
"7,33E+02","6,64E-09"
"7,34E+02","4,93E-09"
"7,35E+02","5,37E-09"
"7,36E+02","6,40E-09"
"7,37E+02","6,49E-09"
"7,38E+02","6,74E-09"
"7,39E+02","4,85E-09"
"7,40E+02","4,59E-09"
"7,41E+02","5,88E-09"
"7,42E+02","7,91E-09"
"7,43E+02","4,73E-09"
"7,44E+02","6,06E-09"
"7,45E+02","6,58E-09"
"7,46E+02","6,02E-09"
"7,47E+02","5,43E-09"
"7,48E+02","6,41E-09"
"7,49E+02","5,38E-09"
"7,50E+02","5,54E-09"
"7,51E+02","5,30E-09"
"7,52E+02","5,26E-09"
"7,53E+02","4,85E-09"
"7,54E+02","5,47E-09"
"7,55E+02","6,00E-09"
"7,56E+02","5,79E-09"
"7,57E+02","7,81E-09"
"7,58E+02","5,07E-09"
"7,59E+02","6,80E-09"
"7,60E+02","4,71E-09"
"7,61E+02","5,44E-09"
"7,62E+02","5,57E-09"
"7,63E+02","1,01E-08"
"7,64E+02","5,29E-09"
"7,65E+02","4,60E-09"
"7,66E+02","5,78E-09"
"7,67E+02","9,38E-09"
"7,68E+02","6,93E-09"
"7,69E+02","6,19E-09"
"7,70E+02","9,09E-09"
"7,71E+02","5,03E-09"
"7,72E+02","5,20E-09"
"7,73E+02","6,21E-09"
"7,74E+02","7,21E-09"
"7,75E+02","5,16E-09"
"7,76E+02","5,65E-09"
"7,77E+02","5,02E-09"
"7,78E+02","4,95E-09"
"7,79E+02","5,95E-09"
"7,80E+02","6,66E-09"
"7,81E+02","5,07E-09"
"7,82E+02","4,64E-09"
"7,83E+02","4,39E-09"
"7,84E+02","6,34E-09"
"7,85E+02","5,45E-09"
"7,86E+02","7,78E-09"
"7,87E+02","5,40E-09"
"7,88E+02","6,52E-09"
"7,89E+02","5,57E-09"
"7,90E+02","8,64E-09"
"7,91E+02","6,28E-09"
"7,92E+02","5,48E-09"
"7,93E+02","6,47E-09"
"7,94E+02","5,35E-09"
"7,95E+02","6,14E-09"
"7,96E+02","4,99E-09"
"7,97E+02","4,99E-09"
"7,98E+02","4,95E-09"
"7,99E+02","5,49E-09"
"8,00E+02","8,59E-09"
"8,01E+02","5,32E-09"
"8,02E+02","5,40E-09"
"8,03E+02","6,29E-09"
"8,04E+02","5,52E-09"
"8,05E+02","5,99E-09"
"8,06E+02","6,01E-09"
"8,07E+02","5,19E-09"
"8,08E+02","5,87E-09"
"8,09E+02","5,99E-09"
"8,10E+02","5,65E-09"
"8,11E+02","6,50E-09"
"8,12E+02","5,86E-09"
"8,13E+02","5,76E-09"
"8,14E+02","5,78E-09"
"8,15E+02","6,45E-09"
"8,16E+02","8,68E-09"
"8,17E+02","7,13E-09"
"8,18E+02","4,72E-09"
"8,19E+02","6,25E-09"
"8,20E+02","8,27E-09"
"8,21E+02","6,43E-09"
"8,22E+02","5,07E-09"
"8,23E+02","5,39E-09"
"8,24E+02","5,12E-09"
"8,25E+02","6,12E-09"
"8,26E+02","4,88E-09"
